AWP | BOOM (Minimal Wear)
MAC-10 | Malachite (Field-Tested)
M4A1-S | Flashback (Well-Worn)
CZ75-Auto | Crimson Web (Minimal Wear)
AWP | Pink DDPAT (Field-Tested)
M4A4 | Buzz Kill (Battle-Scarred)
SSG 08 | Blood in the Water (Minimal Wear)
StatTrak™ P250 | Supernova (Field-Tested)
★ Gut Knife | Freehand (Minimal Wear)
MAC-10 | Neon Rider (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)
AK-47 | Blue Laminate (Minimal Wear)
AK-47 | Emerald Pinstripe (Well-Worn)
M4A1-S | Golden Coil (Field-Tested)
Glock-18 | Night (Minimal Wear)
Desert Eagle | Cobalt Disruption (Minimal Wear)
R8 Revolver | Crimson Web (Field-Tested)


M4A1-S | Nitro (Field-Tested)
USP-S | Royal Blue (Battle-Scarred)

AWP | Safari Mesh (Battle-Scarred)
M4A1-S | Basilisk (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
AK-47 | Emerald Pinstripe (Minimal Wear)

Desert Eagle | Oxide Blaze (Well-Worn)
UMP-45 | Delusion (Factory New)
MAG-7 | Firestarter (Minimal Wear)
StatTrak™ USP-S | Dark Water (Field-Tested)
SCAR-20 | Palm (Well-Worn)
M4A1-S | Decimator (Field-Tested)

Desert Eagle | Oxide Blaze (Field-Tested)
AWP | Electric Hive (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
M4A1-S | Basilisk (Battle-Scarred)
AK-47 | Safari Mesh (Battle-Scarred)
AWP | Worm God (Minimal Wear)
AK-47 | Redline (Battle-Scarred)
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)
AK-47 | Elite Build (Battle-Scarred)
StatTrak™ Negev | Power Loader (Field-Tested)
AWP | Phobos (Factory New)
AK-47 | Frontside Misty (Field-Tested)
SSG 08 | Blood in the Water (Factory New)
AK-47 | Blue Laminate (Minimal Wear)
AK-47 | Blue Laminate (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
Galil AR | Crimson Tsunami (Minimal Wear)
StatTrak™ USP-S | Neo-Noir (Minimal Wear)
AK-47 | Elite Build (Minimal Wear)
AWP | Asiimov (Field-Tested)
M4A1-S | Atomic Alloy (Factory New)
StatTrak™ Sawed-Off | Origami (Minimal Wear)
Glock-18 | Catacombs (Factory New)
AK-47 | Safari Mesh (Field-Tested)
Desert Eagle | Meteorite (Factory New)
AK-47 | Redline (Field-Tested)
StatTrak™ Desert Eagle | Naga (Minimal Wear)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Blue Laminate (Field-Tested)
StatTrak™ USP-S | Guardian (Factory New)
Desert Eagle | Mudder (Battle-Scarred)
PP-Bizon | Forest Leaves (Well-Worn)
Five-SeveN | Triumvirate (Factory New)
AWP | Pit Viper (Field-Tested)
Desert Eagle | Oxide Blaze (Field-Tested)
StatTrak™ AK-47 | Blue Laminate (Field-Tested)
Glock-18 | Reactor (Minimal Wear)
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)

M4A1-S | Decimator (Field-Tested)
AWP | Safari Mesh (Field-Tested)
Desert Eagle | Midnight Storm (Factory New)
USP-S | Kill Confirmed (Minimal Wear)
Desert Eagle | Urban DDPAT (Minimal Wear)
StatTrak™ Desert Eagle | Naga (Factory New)
CZ75-Auto | Crimson Web (Well-Worn)
StatTrak™ Nova | Antique (Minimal Wear)
MP7 | Skulls (Field-Tested)
StatTrak™ M4A1-S | Bright Water (Field-Tested)
AWP | Sun in Leo (Field-Tested)
StatTrak™ UMP-45 | Labyrinth (Minimal Wear)
AWP | Snake Camo (Field-Tested)
AK-47 | Redline (Field-Tested)
Desert Eagle | Oxide Blaze (Minimal Wear)
★ StatTrak™ Bayonet | Ultraviolet (Field-Tested)
Desert Eagle | Directive (Battle-Scarred)
AWP | Hyper Beast (Battle-Scarred)
AK-47 | Fuel Injector (Battle-Scarred)
AK-47 | First Class (Well-Worn)
AWP | Worm God (Well-Worn)
AK-47 | Blue Laminate (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
P90 | Asiimov (Well-Worn)
Desert Eagle | Conspiracy (Minimal Wear)

M4A1-S | Mecha Industries (Field-Tested)
★ Butterfly Knife | Stained (Well-Worn)
P2000 | Ivory (Battle-Scarred)
AWP | Hyper Beast (Battle-Scarred)
Desert Eagle | Oxide Blaze (Field-Tested)
USP-S | Royal Blue (Field-Tested)
MP9 | Sand Scale (Minimal Wear)
M4A1-S | Boreal Forest (Field-Tested)

SSG 08 | Big Iron (Field-Tested)
AK-47 | Elite Build (Well-Worn)
Five-SeveN | Capillary (Well-Worn)
AK-47 | Redline (Battle-Scarred)
USP-S | Cyrex (Minimal Wear)
M4A4 | Urban DDPAT (Minimal Wear)
P250 | Mehndi (Well-Worn)
Desert Eagle | Oxide Blaze (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
StatTrak™ USP-S | Orion (Minimal Wear)
FAMAS | Mecha Industries (Field-Tested)
M4A1-S | Flashback (Factory New)

AK-47 | Emerald Pinstripe (Field-Tested)
★ Bowie Knife | Night (Field-Tested)
AK-47 | Cartel (Minimal Wear)
M4A1-S | VariCamo (Factory New)
P250 | Whiteout (Field-Tested)
StatTrak™ SG 553 | Pulse (Field-Tested)
AK-47 | Redline (Field-Tested)
StatTrak™ Desert Eagle | Heirloom (Field-Tested)
StatTrak™ Five-SeveN | Urban Hazard (Factory New)
USP-S | Royal Blue (Minimal Wear)
StatTrak™ AK-47 | Jaguar (Minimal Wear)
AWP | Phobos (Factory New)
AK-47 | Fuel Injector (Field-Tested)
StatTrak™ Tec-9 | Sandstorm (Minimal Wear)
StatTrak™ AK-47 | Elite Build (Field-Tested)
AWP | Pit Viper (Field-Tested)
StatTrak™ Five-SeveN | Monkey Business (Field-Tested)
USP-S | Night Ops (Battle-Scarred)

Five-SeveN | Hot Shot (Minimal Wear)
AWP | Safari Mesh (Battle-Scarred)
M4A4 | Desert-Strike (Minimal Wear)
Glock-18 | Night (Minimal Wear)
USP-S | Caiman (Minimal Wear)
AWP | Phobos (Minimal Wear)
USP-S | Guardian (Factory New)
Desert Eagle | Oxide Blaze (Minimal Wear)
Nova | Forest Leaves (Minimal Wear)
StatTrak™ G3SG1 | Demeter (Battle-Scarred)
Desert Eagle | Oxide Blaze (Battle-Scarred)
Desert Eagle | Oxide Blaze (Battle-Scarred)
Galil AR | Winter Forest (Well-Worn)
Galil AR | Winter Forest (Well-Worn)
USP-S | Blood Tiger (Minimal Wear)
★ M9 Bayonet | Urban Masked (Well-Worn)
AWP | Pit Viper (Field-Tested)
M4A1-S | Mecha Industries (Well-Worn)
AK-47 | Redline (Field-Tested)
AK-47 | Wasteland Rebel (Battle-Scarred)
M4A1-S | Guardian (Battle-Scarred)
Glock-18 | Steel Disruption (Field-Tested)
M4A1-S | Flashback (Factory New)
Desert Eagle | Midnight Storm (Minimal Wear)

AWP | Pit Viper (Field-Tested)
MP9 | Hot Rod (Factory New)
AWP | Asiimov (Battle-Scarred)
Glock-18 | Grinder (Minimal Wear)
MP9 | Bioleak (Factory New)
AWP | Fever Dream (Minimal Wear)
AK-47 | Blue Laminate (Field-Tested)
AK-47 | Bloodsport (Factory New)
StatTrak™ AK-47 | Redline (Well-Worn)
StatTrak™ UMP-45 | Primal Saber (Factory New)
AK-47 | Safari Mesh (Field-Tested)
Glock-18 | Weasel (Minimal Wear)
StatTrak™ Five-SeveN | Retrobution (Well-Worn)
AK-47 | Cartel (Field-Tested)
AWP | Pink DDPAT (Minimal Wear)
StatTrak™ P250 | Wingshot (Field-Tested)
AWP | Pit Viper (Field-Tested)
AK-47 | Emerald Pinstripe (Well-Worn)
USP-S | Road Rash (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AK-47 | Redline (Field-Tested)
M4A1-S | Mecha Industries (Battle-Scarred)
StatTrak™ Galil AR | Orange DDPAT (Well-Worn)
StatTrak™ Nova | Tempest (Factory New)
StatTrak™ P250 | Hive (Field-Tested)
Five-SeveN | Nightshade (Field-Tested)
UMP-45 | Scaffold (Field-Tested)
AK-47 | Redline (Field-Tested)
USP-S | Cyrex (Minimal Wear)
M4A4 | Faded Zebra (Battle-Scarred)
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn)
StatTrak™ MP9 | Rose Iron (Field-Tested)
★ Gut Knife | Night (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
UMP-45 | Urban DDPAT (Factory New)
AWP | Pit Viper (Field-Tested)

M4A1-S | Atomic Alloy (Field-Tested)
AWP | Pit Viper (Minimal Wear)
USP-S | Torque (Minimal Wear)
M4A4 | Desert-Strike (Field-Tested)
StatTrak™ AWP | Fever Dream (Battle-Scarred)
StatTrak™ XM1014 | Red Python (Field-Tested)
AK-47 | Redline (Field-Tested)
Glock-18 | Ironwork (Well-Worn)
M4A1-S | Nitro (Factory New)
PP-Bizon | Chemical Green (Factory New)
AK-47 | Emerald Pinstripe (Field-Tested)
M4A1-S | Flashback (Minimal Wear)
AK-47 | Emerald Pinstripe (Minimal Wear)
M4A1-S | Decimator (Field-Tested)
Desert Eagle | Hypnotic (Factory New)

AK-47 | Red Laminate (Field-Tested)
M4A4 | Desert-Strike (Minimal Wear)
StatTrak™ MP7 | Akoben (Field-Tested)
Desert Eagle | Hypnotic (Factory New)
USP-S | Cyrex (Well-Worn)
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)

StatTrak™ USP-S | Orion (Minimal Wear)
CZ75-Auto | Crimson Web (Well-Worn)
StatTrak™ AK-47 | Red Laminate (Field-Tested)
AWP | Pit Viper (Field-Tested)
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)
SG 553 | Bulldozer (Factory New)
AWP | Phobos (Factory New)
M4A1-S | Cyrex (Minimal Wear)
AK-47 | Safari Mesh (Minimal Wear)
AK-47 | Emerald Pinstripe (Factory New)
StatTrak™ Desert Eagle | Directive (Well-Worn)
M4A4 | Desolate Space (Field-Tested)
Desert Eagle | Crimson Web (Battle-Scarred)
Galil AR | Black Sand (Battle-Scarred)
★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)
Desert Eagle | Directive (Well-Worn)
R8 Revolver | Reboot (Field-Tested)
StatTrak™ MP9 | Deadly Poison (Minimal Wear)
AWP | Pit Viper (Field-Tested)

StatTrak™ UMP-45 | Corporal (Factory New)
StatTrak™ M4A4 | Buzz Kill (Minimal Wear)
StatTrak™ AK-47 | Vulcan (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
P250 | Franklin (Field-Tested)
AWP | Fever Dream (Minimal Wear)
Desert Eagle | Kumicho Dragon (Minimal Wear)
StatTrak™ M4A1-S | Basilisk (Field-Tested)
Souvenir UMP-45 | Scorched (Well-Worn)
USP-S | Caiman (Minimal Wear)
M4A1-S | Decimator (Field-Tested)
StatTrak™ CZ75-Auto | Twist (Field-Tested)
AK-47 | Black Laminate (Field-Tested)
M4A4 | Desolate Space (Minimal Wear)
M4A1-S | Master Piece (Field-Tested)
★ Huntsman Knife | Blue Steel (Battle-Scarred)
★ Shadow Daggers | Crimson Web (Field-Tested)

M4A1-S | Cyrex (Factory New)
PP-Bizon | Jungle Slipstream (Factory New)
AWP | Phobos (Factory New)
Tec-9 | Jambiya (Well-Worn)
Desert Eagle | Directive (Well-Worn)
M4A1-S | Flashback (Well-Worn)
AWP | Electric Hive (Minimal Wear)
AWP | Safari Mesh (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
AK-47 | Elite Build (Field-Tested)
StatTrak™ P90 | Elite Build (Minimal Wear)
StatTrak™ P2000 | Handgun (Field-Tested)

M4A1-S | Chantico's Fire (Field-Tested)
USP-S | Overgrowth (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
M4A1-S | Basilisk (Battle-Scarred)
P90 | Blind Spot (Field-Tested)
M4A1-S | Basilisk (Minimal Wear)
P250 | Muertos (Battle-Scarred)
P250 | Iron Clad (Minimal Wear)
SSG 08 | Abyss (Battle-Scarred)
USP-S | Orion (Minimal Wear)
AK-47 | Elite Build (Field-Tested)
Desert Eagle | Hypnotic (Factory New)
M4A1-S | Cyrex (Minimal Wear)
AK-47 | Cartel (Field-Tested)
P250 | Whiteout (Field-Tested)
Glock-18 | Ironwork (Field-Tested)
M4A1-S | Basilisk (Factory New)
Desert Eagle | Meteorite (Minimal Wear)
USP-S | Lead Conduit (Well-Worn)
M4A1-S | Mecha Industries (Battle-Scarred)
M4A1-S | Cyrex (Minimal Wear)
AWP | Safari Mesh (Well-Worn)
AK-47 | Safari Mesh (Field-Tested)
StatTrak™ Galil AR | Kami (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
Desert Eagle | Crimson Web (Field-Tested)
M4A4 | Desolate Space (Minimal Wear)
AWP | Pit Viper (Field-Tested)
StatTrak™ AWP | Elite Build (Field-Tested)
StatTrak™ Glock-18 | Wraiths (Factory New)
StatTrak™ Desert Eagle | Bronze Deco (Well-Worn)
AK-47 | Elite Build (Well-Worn)
Five-SeveN | Fowl Play (Well-Worn)
USP-S | Guardian (Factory New)
USP-S | Guardian (Minimal Wear)
Five-SeveN | Monkey Business (Field-Tested)
AWP | Pit Viper (Minimal Wear)
AWP | Pit Viper (Field-Tested)
AWP | Pit Viper (Field-Tested)
StatTrak™ AWP | Worm God (Field-Tested)
M4A1-S | Basilisk (Battle-Scarred)
M4A4 | Desolate Space (Minimal Wear)
StatTrak™ Glock-18 | Royal Legion (Field-Tested)
Desert Eagle | Hypnotic (Factory New)
USP-S | Night Ops (Minimal Wear)
UMP-45 | Bone Pile (Minimal Wear)
USP-S | Road Rash (Field-Tested)
P2000 | Imperial Dragon (Field-Tested)
M4A4 | Jungle Tiger (Minimal Wear)
M4A1-S | Mecha Industries (Battle-Scarred)
Desert Eagle | Meteorite (Minimal Wear)
M4A1-S | Decimator (Battle-Scarred)
AK-47 | Frontside Misty (Field-Tested)
AK-47 | Emerald Pinstripe (Factory New)
Glock-18 | Night (Minimal Wear)
Five-SeveN | Retrobution (Factory New)
P250 | Wingshot (Factory New)
M4A4 | Desolate Space (Minimal Wear)
M4A1-S | Mecha Industries (Field-Tested)

AWP | Phobos (Minimal Wear)
PP-Bizon | Forest Leaves (Well-Worn)
M4A4 | Daybreak (Well-Worn)
M4A1-S | Mecha Industries (Field-Tested)
★ Flip Knife | Marble Fade (Factory New)
M4A1-S | Knight (Factory New)
XM1014 | Slipstream (Field-Tested)
AK-47 | Redline (Well-Worn)
USP-S | Serum (Minimal Wear)
StatTrak™ UMP-45 | Labyrinth (Field-Tested)
StatTrak™ Five-SeveN | Violent Daimyo (Factory New)
MP9 | Rose Iron (Factory New)
USP-S | Cyrex (Field-Tested)


AK-47 | Emerald Pinstripe (Well-Worn)
M4A4 | Desolate Space (Field-Tested)
AK-47 | Emerald Pinstripe (Field-Tested)
AWP | Sun in Leo (Factory New)
M4A1-S | Cyrex (Minimal Wear)
AK-47 | Aquamarine Revenge (Minimal Wear)
AK-47 | Redline (Field-Tested)
StatTrak™ USP-S | Overgrowth (Minimal Wear)
Glock-18 | Candy Apple (Factory New)
M4A4 | Buzz Kill (Well-Worn)
StatTrak™ AWP | Asiimov (Battle-Scarred)
AWP | Elite Build (Field-Tested)
AWP | Corticera (Minimal Wear)
AWP | Pink DDPAT (Field-Tested)
USP-S | Cyrex (Battle-Scarred)
M4A4 | Bullet Rain (Field-Tested)
AK-47 | Elite Build (Minimal Wear)
Desert Eagle | Oxide Blaze (Field-Tested)
AWP | Sun in Leo (Field-Tested)
StatTrak™ P250 | Iron Clad (Minimal Wear)
Glock-18 | Candy Apple (Factory New)
M4A1-S | Master Piece (Well-Worn)
P90 | Chopper (Factory New)
M4A4 | Desolate Space (Minimal Wear)
AK-47 | Emerald Pinstripe (Field-Tested)
Desert Eagle | Oxide Blaze (Well-Worn)
MP7 | Armor Core (Factory New)
★ Bayonet | Black Laminate (Battle-Scarred)
M4A1-S | Nitro (Factory New)
AWP | Pit Viper (Minimal Wear)
StatTrak™ USP-S | Torque (Field-Tested)
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear)
AK-47 | Neon Revolution (Factory New)
P250 | Whiteout (Field-Tested)
AK-47 | Jaguar (Well-Worn)
Glock-18 | Wraiths (Minimal Wear)
Tec-9 | Titanium Bit (Factory New)
AWP | Phobos (Factory New)
AWP | Sun in Leo (Field-Tested)
P250 | Whiteout (Field-Tested)
StatTrak™ AWP | Phobos (Field-Tested)
StatTrak™ MP7 | Armor Core (Field-Tested)
Desert Eagle | Midnight Storm (Minimal Wear)
M4A1-S | Golden Coil (Battle-Scarred)
AWP | Man-o'-war (Minimal Wear)
M4A4 | Bullet Rain (Field-Tested)
Five-SeveN | Capillary (Factory New)
StatTrak™ Desert Eagle | Directive (Field-Tested)
AK-47 | Redline (Field-Tested)
StatTrak™ Galil AR | Firefight (Minimal Wear)
M4A1-S | Blood Tiger (Minimal Wear)
AK-47 | Blue Laminate (Field-Tested)
USP-S | Cyrex (Well-Worn)
AK-47 | Blue Laminate (Factory New)
StatTrak™ USP-S | Lead Conduit (Well-Worn)
StatTrak™ Desert Eagle | Heirloom (Field-Tested)
AWP | Sun in Leo (Field-Tested)
SSG 08 | Slashed (Battle-Scarred)
AWP | Sun in Leo (Field-Tested)
AK-47 | Fire Serpent (Field-Tested)
M4A1-S | VariCamo (Factory New)
StatTrak™ AK-47 | Point Disarray (Field-Tested)


AWP | Pit Viper (Minimal Wear)
M4A1-S | Chantico's Fire (Field-Tested)
AK-47 | Redline (Battle-Scarred)
AK-47 | Blue Laminate (Factory New)
USP-S | Forest Leaves (Factory New)
P90 | Elite Build (Well-Worn)
StatTrak™ SCAR-20 | Green Marine (Field-Tested)
Five-SeveN | Monkey Business (Field-Tested)
AK-47 | Redline (Field-Tested)
P250 | Supernova (Factory New)
AWP | Worm God (Minimal Wear)
Glock-18 | Water Elemental (Field-Tested)
USP-S | Forest Leaves (Well-Worn)
AK-47 | Hydroponic (Field-Tested)
AWP | Pink DDPAT (Field-Tested)
AK-47 | Point Disarray (Field-Tested)
Glock-18 | Water Elemental (Field-Tested)
StatTrak™ P250 | Steel Disruption (Minimal Wear)
AWP | Snake Camo (Well-Worn)
UMP-45 | Delusion (Minimal Wear)
M4A1-S | Atomic Alloy (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
AK-47 | Emerald Pinstripe (Battle-Scarred)
P2000 | Imperial Dragon (Minimal Wear)
P2000 | Imperial Dragon (Minimal Wear)
Sawed-Off | Limelight (Field-Tested)
AWP | Worm God (Field-Tested)
Tec-9 | Fuel Injector (Well-Worn)

StatTrak™ M4A1-S | Dark Water (Field-Tested)
★ StatTrak™ Shadow Daggers | Night (Field-Tested)
AWP | Snake Camo (Battle-Scarred)
SSG 08 | Acid Fade (Factory New)
M4A1-S | Chantico's Fire (Well-Worn)
StatTrak™ AWP | Elite Build (Battle-Scarred)
R8 Revolver | Amber Fade (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
M4A1-S | Nitro (Minimal Wear)
P2000 | Imperial (Factory New)
USP-S | Neo-Noir (Minimal Wear)
AWP | Fever Dream (Minimal Wear)
StatTrak™ AK-47 | Cartel (Battle-Scarred)
M4A1-S | Decimator (Battle-Scarred)
M4A1-S | Guardian (Factory New)
M4A1-S | Nitro (Field-Tested)
StatTrak™ UMP-45 | Corporal (Battle-Scarred)
USP-S | Royal Blue (Minimal Wear)
Five-SeveN | Scumbria (Battle-Scarred)
★ StatTrak™ M9 Bayonet | Doppler (Factory New)
R8 Revolver | Fade (Factory New)
Glock-18 | Blue Fissure (Field-Tested)
★ Flip Knife
P2000 | Oceanic (Factory New)
Glock-18 | Candy Apple (Field-Tested)
AWP | Corticera (Minimal Wear)
USP-S | Orion (Field-Tested)
M4A1-S | Nitro (Field-Tested)
AWP | Safari Mesh (Factory New)
StatTrak™ Glock-18 | Weasel (Well-Worn)
Glock-18 | Reactor (Field-Tested)
M4A1-S | Cyrex (Battle-Scarred)
StatTrak™ AK-47 | Elite Build (Minimal Wear)
M4A1-S | Decimator (Minimal Wear)
AUG | Chameleon (Minimal Wear)
M4A1-S | Blood Tiger (Minimal Wear)
StatTrak™ SSG 08 | Abyss (Minimal Wear)
Souvenir MP9 | Dark Age (Minimal Wear)
AK-47 | Cartel (Field-Tested)
Dual Berettas | Cobalt Quartz (Factory New)

AK-47 | Aquamarine Revenge (Factory New)
AK-47 | Neon Revolution (Field-Tested)
MAC-10 | Neon Rider (Factory New)
StatTrak™ MP7 | Urban Hazard (Factory New)
StatTrak™ M4A1-S | Bright Water (Minimal Wear)
AK-47 | Elite Build (Well-Worn)

USP-S | Blood Tiger (Minimal Wear)
AWP | Fever Dream (Factory New)
StatTrak™ FAMAS | Doomkitty (Minimal Wear)
M4A4 | Buzz Kill (Battle-Scarred)
StatTrak™ M4A4 | Evil Daimyo (Factory New)
M4A1-S | Mecha Industries (Field-Tested)
M4A1-S | Flashback (Battle-Scarred)
★ Gut Knife | Safari Mesh (Battle-Scarred)
AK-47 | Cartel (Field-Tested)
StatTrak™ M249 | Spectre (Field-Tested)
Galil AR | Crimson Tsunami (Minimal Wear)
AWP | Sun in Leo (Field-Tested)
M4A1-S | Atomic Alloy (Field-Tested)
StatTrak™ SG 553 | Aerial (Factory New)
Desert Eagle | Heirloom (Battle-Scarred)
Dual Berettas | Ventilators (Factory New)
M4A1-S | Basilisk (Field-Tested)

AK-47 | Point Disarray (Field-Tested)
Glock-18 | Grinder (Factory New)

M4A4 | Bullet Rain (Factory New)
Desert Eagle | Conspiracy (Factory New)
AK-47 | Elite Build (Minimal Wear)
UMP-45 | Riot (Minimal Wear)
AK-47 | Emerald Pinstripe (Field-Tested)
AWP | Sun in Leo (Minimal Wear)
AWP | Worm God (Field-Tested)
Glock-18 | Candy Apple (Factory New)
AK-47 | Point Disarray (Factory New)
USP-S | Cyrex (Factory New)
Desert Eagle | Hypnotic (Factory New)
StatTrak™ M4A4 | Royal Paladin (Minimal Wear)
StatTrak™ AWP | Man-o'-war (Minimal Wear)
AWP | Man-o'-war (Minimal Wear)
Desert Eagle | Naga (Field-Tested)
MP9 | Sand Scale (Factory New)
M4A1-S | VariCamo (Minimal Wear)
MAC-10 | Candy Apple (Factory New)
★ Falchion Knife | Urban Masked (Battle-Scarred)

USP-S | Cyrex (Minimal Wear)
AWP | Pit Viper (Field-Tested)
AK-47 | First Class (Factory New)
StatTrak™ AK-47 | Redline (Minimal Wear)
StatTrak™ P2000 | Pulse (Factory New)
StatTrak™ FAMAS | Pulse (Factory New)
StatTrak™ SSG 08 | Abyss (Field-Tested)
StatTrak™ USP-S | Blood Tiger (Minimal Wear)

StatTrak™ P90 | Trigon (Field-Tested)
StatTrak™ P250 | Valence (Minimal Wear)
StatTrak™ SCAR-20 | Grotto (Minimal Wear)
StatTrak™ CZ75-Auto | Pole Position (Minimal Wear)
AWP | BOOM (Field-Tested)
M4A1-S | Blood Tiger (Field-Tested)
StatTrak™ CZ75-Auto | Polymer (Well-Worn)
Five-SeveN | Jungle (Factory New)
StatTrak™ CZ75-Auto | Polymer (Well-Worn)
SCAR-20 | Palm (Battle-Scarred)
StatTrak™ CZ75-Auto | Polymer (Well-Worn)
StatTrak™ AK-47 | Frontside Misty (Minimal Wear)
USP-S | Overgrowth (Minimal Wear)
Glock-18 | Blue Fissure (Minimal Wear)
★ Bayonet | Night (Field-Tested)
MP7 | Asterion (Minimal Wear)
AK-47 | Emerald Pinstripe (Well-Worn)
AK-47 | Safari Mesh (Field-Tested)
M4A1-S | Decimator (Field-Tested)
M4A1-S | Decimator (Field-Tested)
AWP | Phobos (Factory New)
AWP | Electric Hive (Factory New)
Tec-9 | Toxic (Minimal Wear)
Tec-9 | Toxic (Minimal Wear)
Tec-9 | Toxic (Minimal Wear)
Tec-9 | Toxic (Minimal Wear)
Glock-18 | Ironwork (Battle-Scarred)
M4A1-S | Mecha Industries (Battle-Scarred)
AK-47 | Elite Build (Well-Worn)
M4A1-S | Mecha Industries (Field-Tested)
MAG-7 | Sonar (Well-Worn)
USP-S | Night Ops (Field-Tested)
M4A1-S | Cyrex (Field-Tested)
AK-47 | Blue Laminate (Minimal Wear)
StatTrak™ M4A1-S | Guardian (Minimal Wear)
AWP | BOOM (Field-Tested)
MP9 | Sand Scale (Minimal Wear)
★ M9 Bayonet | Safari Mesh (Minimal Wear)
★ Shadow Daggers | Crimson Web (Field-Tested)
AWP | Sun in Leo (Field-Tested)
USP-S | Stainless (Field-Tested)
StatTrak™ M4A1-S | Basilisk (Minimal Wear)

StatTrak™ MAC-10 | Graven (Field-Tested)
StatTrak™ MP9 | Sand Scale (Field-Tested)
StatTrak™ M4A1-S | Guardian (Factory New)
StatTrak™ M4A4 | Evil Daimyo (Factory New)
AK-47 | Neon Revolution (Battle-Scarred)
StatTrak™ USP-S | Torque (Minimal Wear)
P90 | Trigon (Field-Tested)
P250 | Franklin (Minimal Wear)
AK-47 | Jaguar (Battle-Scarred)
USP-S | Stainless (Minimal Wear)
Five-SeveN | Urban Hazard (Factory New)
AWP | Phobos (Minimal Wear)
M4A1-S | Guardian (Factory New)
AK-47 | Predator (Field-Tested)

M4A1-S | Guardian (Well-Worn)
Glock-18 | Wasteland Rebel (Battle-Scarred)
M4A1-S | Guardian (Minimal Wear)
★ Huntsman Knife | Boreal Forest (Minimal Wear)
AK-47 | Emerald Pinstripe (Minimal Wear)
M4A1-S | Cyrex (Field-Tested)
Galil AR | Firefight (Field-Tested)
AK-47 | Safari Mesh (Minimal Wear)
StatTrak™ MAC-10 | Rangeen (Factory New)
AWP | Sun in Leo (Minimal Wear)
AWP | Safari Mesh (Factory New)
AK-47 | Elite Build (Field-Tested)
StatTrak™ UMP-45 | Briefing (Well-Worn)
★ StatTrak™ Karambit | Rust Coat (Battle-Scarred)
SSG 08 | Acid Fade (Factory New)
AWP | Asiimov (Field-Tested)
Desert Eagle | Heirloom (Field-Tested)
StatTrak™ P250 | Steel Disruption (Field-Tested)
AK-47 | Jungle Spray (Field-Tested)
Glock-18 | Wasteland Rebel (Minimal Wear)
AWP | Electric Hive (Factory New)
M4A1-S | Mecha Industries (Factory New)
Desert Eagle | Conspiracy (Factory New)
M249 | Spectre (Minimal Wear)
StatTrak™ Desert Eagle | Directive (Field-Tested)
AWP | Sun in Leo (Field-Tested)
StatTrak™ USP-S | Torque (Field-Tested)
AWP | Asiimov (Field-Tested)
Glock-18 | Night (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
MP7 | Nemesis (Minimal Wear)
StatTrak™ M4A1-S | Flashback (Well-Worn)
StatTrak™ Galil AR | Stone Cold (Minimal Wear)
P250 | Contamination (Well-Worn)
AK-47 | Elite Build (Field-Tested)
Desert Eagle | Conspiracy (Factory New)
M4A1-S | Mecha Industries (Field-Tested)
AK-47 | Elite Build (Field-Tested)
★ Flip Knife | Safari Mesh (Field-Tested)
AWP | Safari Mesh (Factory New)
AK-47 | Case Hardened (Battle-Scarred)
PP-Bizon | Jungle Slipstream (Field-Tested)
StatTrak™ P2000 | Pulse (Factory New)
StatTrak™ MP7 | Akoben (Minimal Wear)
M4A1-S | Golden Coil (Field-Tested)
AWP | Hyper Beast (Battle-Scarred)
StatTrak™ Desert Eagle | Directive (Well-Worn)
AWP | Pink DDPAT (Field-Tested)
P90 | Asiimov (Well-Worn)
M4A4 | Zirka (Minimal Wear)
USP-S | Overgrowth (Field-Tested)
P90 | Shallow Grave (Battle-Scarred)
AK-47 | Emerald Pinstripe (Factory New)
AWP | Pit Viper (Minimal Wear)
Souvenir Dual Berettas | Briar (Factory New)
M4A1-S | Atomic Alloy (Field-Tested)
M4A1-S | Boreal Forest (Factory New)
